func_id: 100
=====================================

10	1227	参数	10	2	80	1
11	1287	起始行号	3	2	8	1
12	1286	定位字串	10	2	256	1
13	1288	请求行数	3	2	8	1
14	5250	CPU	10	2	800	1
15	5251	HD	10	2	800	1
16	5252	LIP	10	2	800	1
17	5253	系统节点编号	3	2	8	1
18	5254	真实营业部代码	3	2	8	1

0	140	证券代码	10	2	8	0
1	141	证券名称	10	2	8	0
2	130	买卖标志	1	2	1	1
3	131	买卖标志	1	2	8	0
4	153	成交价格	5	2	8	0
5	152	成交数量	3	2	8	0
6	154	成交金额	6	2	12	0
7	155	成交编号	10	2	24	0
8	146	委托编号	10	2	24	0
9	123	股东代码	10	2	12	0
10	125	帐号类别	10	2	2	1
11	1213	保留信息	10	2	80	1

func_id: 1114
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	1207	起始序号	3	2	8	0
7	140	证券代码	10	2	8	0
8	113	操作标志	1	2	1	1
9	1228	模式	10	2	80	0
10	1299	功能版本	3	2	8	1
11	101	交易所名称	10	2	12	0
12	130	买卖标志	1	2	1	1
13	5250	CPU	10	2	800	1
14	5251	HD	10	2	800	1
15	5252	LIP	10	2	800	1
16	5253	系统节点编号	3	2	8	1
17	5254	真实营业部代码	3	2	8	1

0	140	证券代码	10	2	8	0
1	141	证券名称	10	2	8	0
2	200	证券数量	3	2	8	0
3	201	可卖数量	3	2	8	0
4	202	成本价	5	2	8	0
5	949	当前价	5	2	8	0
6	205	最新市值	6	2	12	0
7	204	浮动盈亏	6	2	12	0
8	230	盈亏比例(%)	6	2	12	0
9	123	股东代码	10	2	12	0
10	125	帐号类别	10	2	2	1
11	100	交易所代码	1	2	1	1
12	1213	保留信息	10	2	80	1

func_id: 1122
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	113	操作标志	1	2	1	1
7	299	对方分支代码	10	2	16	0
8	298	对方客户代码	10	2	16	0
9	243	对方资金帐号	10	2	16	0
10	158	对方密码	10	2	12	1
11	361	升级版本标识	10	2	256	1
12	5250	CPU	10	2	800	1
13	5251	HD	10	2	800	1
14	5252	LIP	10	2	800	1
15	5253	系统节点编号	3	2	8	1
16	5254	真实营业部代码	3	2	8	1

0	123	股东代码	10	2	12	0
1	124	股东名称	10	2	24	0
2	125	帐号类别	10	2	2	1
3	121	资金帐号	10	2	16	0
4	173	席位代码	10	2	8	0
5	281	融资融券标识	1	2	1	1
6	1213	保留信息	10	2	80	1

func_id: 1156
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	126	开始日期	8	2	12	0
7	127	终止日期	8	2	12	0
8	113	操作标志	1	2	1	1
9	1207	起始序号	3	2	8	0
10	234	类型	6	2	1	0
11	5250	CPU	10	2	800	1
12	5251	HD	10	2	800	1
13	5252	LIP	10	2	800	1
14	5253	系统节点编号	3	2	8	1
15	5254	真实营业部代码	3	2	8	1

0	140	证券代码	10	2	8	0
1	141	证券名称	10	2	8	0
2	145	委托价格	5	2	8	0
3	1227	参数	10	2	80	1
4	962	申购下限	3	2	8	0
5	961	申购上限	3	2	8	0
6	100	交易所代码	1	2	1	1
7	101	交易所名称	10	2	12	0
8	142	委托日期	8	2	12	0
9	1213	保留信息	10	2	80	1

func_id: 1340
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	100	交易所代码	1	2	1	1
7	1207	起始序号	3	2	8	0
8	5250	CPU	10	2	800	1
9	5251	HD	10	2	800	1
